area,White,Black,Asian,Mixed,Chinese or Other,Total
Avon & Somerset,13.9,55.3,12.7,20.9,5.2,17.0
Bedfordshire,11.5,27.0,15.4,21.9,4.1,14.2
Cambridgeshire,22.2,57.8,28.5,35.6,4.1,23.5
Cheshire,3.8,12.8,5.9,2.9,7.2,3.9
Cleveland,62.9,109.9,38.7,35.8,25.6,62.4
Cumbria,30.4,59.3,29.3,21.1,18.0,31.3
Derbyshire,15.5,47.3,26.0,44.6,6.9,16.7
Devon & Cornwall,11.2,51.3,8.7,14.3,4.2,11.8
Dorset,9.8,114.4,9.9,20.0,3.8,10.4
Durham,9.6,9.8,5.2,3.0,1.5,9.6
Dyfed-Powys,28.1,91.7,18.5,18.5,12.3,28.8
Essex,2.2,8.8,2.3,7.1,2.0,2.4
Gloucestershire,8.6,67.3,18.7,27.6,10.5,9.6
Greater Manchester,19.8,43.1,24.3,33.1,9.1,21.6
Gwent,13.3,41.7,45.7,20.4,30.7,14.3
Hampshire,18.1,74.7,18.9,25.4,6.5,19.4
Hertfordshire,8.7,23.4,10.5,30.9,5.3,10.1
Humberside,12.6,27.7,22.8,14.2,4.2,12.9
Kent,5.0,22.2,3.8,7.5,21.4,5.4
Lancashire,15.6,47.5,20.8,18.4,4.9,16.3
Leicestershire,8.9,35.9,12.8,28.5,1.3,10.9
Lincolnshire,9.8,26.5,11.5,12.5,1.9,10.1
London(1),47.1,151.5,63.1,69.1,32.8,66.5
Merseyside,20.1,41.2,10.5,16.2,8.0,20.2
Norfolk,20.5,111.9,17.4,24.8,6.5,21.2
Northamptonshire,12.8,41.1,18.8,26.8,7.5,14.1
Northumbria,32.7,31.3,27.0,9.5,1.7,32.1
North Wales,6.0,9.9,6.3,2.1,6.1,6.0
North Yorkshire,10.2,20.3,22.2,9.6,1.9,11.1
Nottinghamshire,2.5,11.7,5.4,7.0,1.5,3.2
South Wales,12.1,41.6,11.8,14.7,2.6,12.5
South Yorkshire,14.3,35.4,23.8,22.1,0.7,15.4
Staffordshire,18.4,46.4,41.4,38.7,6.8,19.5
Suffolk,4.9,22.9,6.7,11.3,2.4,5.3
Surrey,15.1,69.5,20.3,23.9,8.9,16.5
Sussex,17.6,95.9,28.5,21.9,8.6,18.7
Thames Valley,10.4,29.4,17.6,33.4,6.2,12.9
Warwickshire,7.9,37.2,8.5,35.0,1.2,8.5
West Mercia,8.7,48.4,37.0,27.7,3.1,9.8
West Midlands,10.5,38.4,23.4,23.2,8.7,15.5
West Yorkshire,19.9,38.1,28.2,36.0,5.4,21.9
Wiltshire,7.4,51.1,5.4,13.1,6.8,8.0
E&W excl. London,14.1,38.8,20.4,23.2,6.4,15.3
England and Wales,17.4,104.2,36.4,38.5,17.6,22.7
